controlno,Title,Author,Callno,Accession,Copyright
42408151250,General office procedure,"Archer, Fred C.",651 A671 4E,32061,1975
42408151500,Legal office procedures,"Bate, Marjorie Dunlap",651 B328,19549,1975
42408160156,Complete course in office procedures,"Sparling, Allan E.",651.3 S736 4E,19912,1975
51608153714,Introduction to investment management,"Sprecher, C. Ronald",658.1554 S768,7955,1975
42408151250,General office procedure,"Archer, Fred C.",651 A671 4E,19503,1975
42108133420,A primer of drug action,"Julien, Robert M.",615.704 J94,7707,1975
51208141014,Fundamentals of management,"Donnelly, James H. Jr.",658 D685,8114,1975
42408092001,The pressure cooker,"McWane, John W.",641.587 M177,18423,1975
42408092151,Microwave heating,"Copson, David A.",641.5882 C785,18207,1975
51908104319,Managerial economics and operations research,"Mansfield, Edwin",658.403 M278,5756,1975
42108142426,Behavioral therapy,"Schaefer, Halmuth H.",616.89142 S294,18537,1975
42108142426,Behavioral therapy,"Schaefer, Halmuth H.",616.89142 S294,18533,1975
42408083622,Food colorimetry,"Francis, F. J.",641.3 F818,18325,1975
42108141828,I''m ok - you''re ok,"Harris, Thomas A.",616.891 H316,5573,1975
42108133420,A primer of drug action,"Julien, Robert M.",615.704 J94,7708,1975
52208142331,Question and answer on gas welding and cutting,"Bourbousson, P. H. M.",671.522 B766,33582,1975
51308111146,Computers in business,"Sanders, Donald H.",658.05 S215,10426,1975
42408113853,Personal improvement for the career woman,"Zipp, Edith",646.7 Z79,19543,1975
52108102439,Basic marketing,"McCarthy, E. Jerome",658.8 M123 5E,18772,1975
52108102706,Basic marketing,"McCarthy, E. Jerome",658.8 M123 5E,31423,1975
52108102706,Basic marketing,"McCarthy, E. Jerome",658.8 M123 5E,19751,1975
41808152659,Drafting,"Brown, Walter C.",604.2 B881,31250,1975
52108102706,Basic marketing,"McCarthy, E. Jerome",658.8 M123 5E,19752,1975
52108102706,Basic marketing,"McCarthy, E. Jerome",658.8 M123 5E,19754,1975
52108102706,Basic marketing,"McCarthy, E. Jerome",658.8 M123 5E,19753,1975
52108091156,Principles of marketing,"Buskirk, Richard H.",658.8 B978,5558,1975
43008140415,Gregg speed building for colleges,"Gregg, John R.",653 G819 GSB,19809,1976
52108153917,Sales management,"Johnson, H. Webster",658.81 J67,19826,1976
51908101903,Drucker,"Tarrant, John J.",658.4 T192,32227,1976
52208115707,Introductory foord chemistry,"Garard, Ira D.",664 G212,8123,1976
51208142001,Organizational behavior,"Herbert, Theodore T.",658 H537,18534,1976
52108153917,Sales management,"Johnson, H. Webster",658.81 J67,19824,1976
52108142155,Programmed learning aid for principles of marketing,"Ryan, William T.",658.8 R989,687,1976
52108142155,Programmed learning aid for principles of marketing,"Ryan, William T.",658.8 R989,685,1976
52108142155,Programmed learning aid for principles of marketing,"Ryan, William T.",658.8 R989,10796,1976
52108142155,Programmed learning aid for principles of marketing,"Ryan, William T.",658.8 R989,10795,1976
52108142155,Programmed learning aid for principles of marketing,"Ryan, William T.",658.8 R989,10794,1976
50208084424,Gregg shorthand for colleges,"Leslie, Louis A.",653.427 L635 I,27,1976
51908082106,Human resources management,"Martinez, Esdras T.",658.3 M385,19587,1976
52108142155,Programmed learning aid for principles of marketing,"Ryan, William T.",658.8 R989,688,1976
43008140415,Gregg speed building for colleges,"Gregg, John R.",653 G819 GSB,19807,1976
51908082106,Human resources management,"Martinez, Esdras T.",658.3 M385,19589,1976
51308150652,Managerial finance,"Bolten, Steven E.",658.15 B694,7939,1976
51308150652,Managerial finance,"Bolten, Steven E.",658.15 B694,10736,1976
